Member_Id	Percent_of_customers	Percent_of_Total_Running_Sum_of_P_Q	P_Q
17256787	0.176312420	59.716232232%	26900
1731720	0.176440461	59.731311556%	26900
17676581	0.176568502	59.746390880%	26900
17757410	0.176696543	59.761470204%	26900
17866043	0.176824584	59.776549529%	26900
459382	0.176952625	59.791628853%	26900
5525433	0.177080666	59.806708177%	26900
5931525	0.177208707	59.821787501%	26900
6417913	0.177336748	59.836866825%	26900
6992529	0.177464789	59.851946150%	26900
7036021	0.177592830	59.867025474%	26900
77439	0.177720871	59.882104798%	26900
8060202	0.177848912	59.897184122%	26900
8895914	0.177976953	59.912263447%	26900
9022856	0.178104994	59.927342771%	26900
9298076	0.178233035	59.942422095%	26900
9902484	0.178361076	59.957494692%	26888
499780	0.178489117	59.972529171%	26820
10585055	0.178617157	59.987552438%	26800
10836653	0.178745198	60.002575706%	26800
15294635	0.178873239	60.017598973%	26800
17070583	0.179001280	60.032622240%	26800
17544778	0.179129321	60.047645507%	26800
17815267	0.179257362	60.062668775%	26800
18004977	0.179385403	60.077692042%	26800
5690429	0.179513444	60.092715309%	26800
860057	0.179641485	60.107738576%	26800
1347563	0.179769526	60.122759601%	26796
197544	0.179897567	60.137769415%	26776
4477856	0.180025608	60.152777547%	26773
16589569	0.180153649	60.167763256%	26733
16732692	0.180281690	60.182748965%	26733
18049827	0.180409731	60.197726826%	26719
8392877	0.180537772	60.212693476%	26699
17435307	0.180665813	60.227653959%	26688
17562251	0.180793854	60.242614443%	26688
17721251	0.180921895	60.257574926%	26688
17912261	0.181049936	60.272535410%	26688
18007208	0.181177977	60.287495893%	26688
13666754	0.181306018	60.302442923%	26664
1866930	0.181434059	60.317389953%	26664
5322537	0.181562100	60.332336982%	26664
5540349	0.181690141	60.347284012%	26664
13135574	0.181818182	60.362217588%	26640
14613623	0.181946223	60.377151164%	26640
5830712	0.182074264	60.392084741%	26640
5945188	0.182202305	60.407002060%	26611
15849576	0.182330346	60.421912092%	26598
6293149	0.182458387	60.436822124%	26598
12528377	0.182586428	60.451727672%	26590
16164061	0.182714469	60.466623129%	26572
11425541	0.182842510	60.481506254%	26550
6754090	0.182970551	60.496386576%	26545
17711107	0.183098592	60.511241673%	26500
13944618	0.183226633	60.526096208%	26499
14503355	0.183354673	60.540950744%	26499
15135481	0.183482714	60.555805280%	26499
7147658	0.183610755	60.570650847%	26483
12262449	0.183738796	60.585449886%	26400
11082558	0.183866837	60.600246683%	26396
13336971	0.183994878	60.615043480%	26396
13528652	0.184122919	60.629840277%	26396
18023153	0.184250960	60.644598956%	26328
6617196	0.184379001	60.659352589%	26319
2930204	0.184507042	60.674101177%	26310
17211332	0.184635083	60.688842478%	26297
15721935	0.184763124	60.703550705%	26238
10381103	0.184891165	60.718237630%	26200
878366	0.185019206	60.732915587%	26184
1440349	0.185147247	60.747574484%	26150
979945	0.185275288	60.762218806%	26124
12838210	0.185403329	60.776849674%	26100
956597	0.185531370	60.791479422%	26098
12175354	0.185659411	60.806092352%	26068
17219006	0.185787452	60.820700798%	26060
17689327	0.185915493	60.835281215%	26010
13805727	0.186043534	60.849856026%	26000
17820758	0.186171575	60.864430838%	26000
18059601	0.186299616	60.879005649%	26000
5712151	0.186427657	60.893579900%	25999
13168081	0.186555698	60.908153591%	25998
16327182	0.186683739	60.922727281%	25998
16359371	0.186811780	60.937300971%	25998
17895631	0.186939821	60.951874662%	25998
5037911	0.187067862	60.966448352%	25998
6512567	0.187195903	60.981022043%	25998
8895949	0.187323944	60.995595733%	25998
13158293	0.187451985	61.010164939%	25990
9447408	0.187580026	61.024731342%	25985
9610323	0.187708067	61.039293260%	25977
11290482	0.187836108	61.053845649%	25960
12687174	0.187964149	61.068398038%	25960
10939785	0.188092190	61.082936412%	25935
18091479	0.188220230	61.097466378%	25920
8602396	0.188348271	61.111996344%	25920
18028755	0.188476312	61.126525189%	25918
8436008	0.188604353	61.141044504%	25901
14809977	0.188732394	61.155563259%	25900
17818745	0.188860435	61.170082013%	25900
17824184	0.188988476	61.184600768%	25900
2521970	0.189116517	61.199119522%	25900
4332356	0.189244558	61.213638277%	25900
745415	0.189372599	61.228157031%	25900
1689226	0.189500640	61.242670180%	25890
9027180	0.189628681	61.257178284%	25881
13445411	0.189756722	61.271640981%	25800
17998627	0.189884763	61.286103679%	25800
6546867	0.190012804	61.300566377%	25800
6966061	0.190140845	61.315029074%	25800
8000736	0.190268886	61.329491772%	25800
9381630	0.190396927	61.343954469%	25800
16802396	0.190524968	61.358414925%	25796
385834	0.190653009	61.372872017%	25790
7761883	0.190781050	61.387323503%	25780
8427291	0.190909091	61.401769383%	25770
8613945	0.191037132	61.416186114%	25718
199116	0.191165173	61.430562484%	25646
8879869	0.191293214	61.444901856%	25580
11382510	0.191421255	61.459226654%	25554
16032422	0.191549296	61.473521180%	25500
7065574	0.191677337	61.487815707%	25500
12766607	0.191805378	61.502109113%	25498
14730100	0.191933419	61.516402518%	25498
17794412	0.192061460	61.530691439%	25490
17849668	0.192189501	61.544980360%	25490
18045745	0.192317542	61.559269281%	25490
5546896	0.192445583	61.573535779%	25450
372598	0.192573624	61.587801156%	25448
8881454	0.192701665	61.602057564%	25432
14619319	0.192829706	61.616307245%	25420
1898984	0.192957746	61.630533383%	25378
11188565	0.193085787	61.644715235%	25299
379929	0.193213828	61.658890360%	25287
14915826	0.193341869	61.673016716%	25200
17984684	0.193469910	61.687143072%	25200
17741136	0.193597951	61.701268867%	25199
17636249	0.193725992	61.715388496%	25188
17863395	0.193854033	61.729508125%	25188
704271	0.193982074	61.743617663%	25170
17158919	0.194110115	61.757694128%	25111
5441968	0.194238156	61.771770033%	25110
1377234	0.194366197	61.785834166%	25089
17547456	0.194494238	61.799892132%	25078
5891354	0.194622279	61.813946174%	25071
17399466	0.194750320	61.827993490%	25059
1152510	0.194878361	61.842007171%	24999
10319656	0.195006402	61.856015807%	24990
16223054	0.195134443	61.870016035%	24975
10695097	0.195262484	61.883974219%	24900
13122981	0.195390525	61.897932404%	24900
13847736	0.195518566	61.911890589%	24900
14695112	0.195646607	61.925848774%	24900
15615153	0.195774648	61.939806959%	24900
16619552	0.195902689	61.953765144%	24900
16847795	0.196030730	61.967723329%	24900
17699169	0.196158771	61.981681514%	24900
17825718	0.196286812	61.995639698%	24900
18020783	0.196414853	62.009597883%	24900
18068485	0.196542894	62.023556068%	24900
201689	0.196670935	62.037514253%	24900
6516117	0.196798976	62.051472438%	24900
6818179	0.196927017	62.065430623%	24900
7444770	0.197055058	62.079388808%	24900
7758123	0.197183099	62.093346993%	24900
8138313	0.197311140	62.107305177%	24900
9358598	0.197439181	62.121263362%	24900
11969584	0.197567222	62.135220987%	24899
1660145	0.197695262	62.149078269%	24720
1799171	0.197823303	62.162914250%	24682
15635293	0.197951344	62.176748549%	24679
16524792	0.198079385	62.190582848%	24679
6077242	0.198207426	62.204416586%	24678
11810132	0.198335467	62.218241916%	24663
14795098	0.198463508	62.232054353%	24640
18068959	0.198591549	62.245844367%	24600
9081672	0.198719590	62.259634381%	24600
6818657	0.198847631	62.273422152%	24596
17091459	0.198975672	62.287206561%	24590
8849145	0.199103713	62.300990969%	24590
6135992	0.199231754	62.314736698%	24521
10515776	0.199359795	62.328476261%	24510
12301875	0.199487836	62.342210218%	24500
17206901	0.199615877	62.355932963%	24480
18121590	0.199743918	62.369627680%	24430
910305	0.199871959	62.383283158%	24360
14798716	0.2	62.396935832%	24355
13594458	0.200128041	62.410570568%	24323
1443187	0.200256082	62.424203623%	24320
17915075	0.200384123	62.437825466%	24300
8371320	0.200512164	62.451447309%	24300
10940138	0.200640205	62.465052335%	24270
6927107	0.200768246	62.478657361%	24270
17179468	0.200896287	62.492250054%	24248
15144022	0.201024328	62.505828173%	24222
17739707	0.201152369	62.519379384%	24174
17753207	0.201280410	62.532910975%	24139
6167943	0.201408451	62.546439764%	24134
8191509	0.201536492	62.559966871%	24131
1287739	0.201664533	62.573467070%	24083
15397876	0.201792574	62.586953816%	24059
1351198	0.201920615	62.600435517%	24050
13506304	0.202048656	62.613889189%	24000
17900691	0.202176697	62.627342861%	24000
7360031	0.202304738	62.640796533%	24000
15272103	0.202432778	62.654249645%	23999
7161489	0.202560819	62.667702756%	23999
7812745	0.202688860	62.681154747%	23997
17990343	0.202816901	62.694602813%	23990
7171109	0.202944942	62.708050880%	23990
15792017	0.203072983	62.721487735%	23970
10021225	0.203201024	62.734920105%	23962
11010629	0.203329065	62.748351355%	23960
12697185	0.203457106	62.761782604%	23960
17492090	0.203585147	62.775209369%	23952
10858525	0.203713188	62.788628286%	23938
12235559	0.203841229	62.802046082%	23936
737298	0.203969270	62.815453787%	23918
10469548	0.204097311	62.828851402%	23900
10983519	0.204225352	62.842249017%	23900
15469010	0.204353393	62.855646633%	23900
15512069	0.204481434	62.869044248%	23900
17722658	0.204609475	62.882441863%	23900
17835140	0.204737516	62.895839478%	23900
17844810	0.204865557	62.909237093%	23900
18045206	0.204993598	62.922634709%	23900
6494803	0.205121639	62.936032324%	23900
7405119	0.205249680	62.949429939%	23900
7522790	0.205377721	62.962827554%	23900
782562	0.205505762	62.976225169%	23900
8424999	0.205633803	62.989622785%	23900
11066050	0.205761844	63.003019839%	23899
17978792	0.205889885	63.016411849%	23890
1084512	0.206017926	63.029792647%	23870
1499395	0.206145967	63.043172324%	23868
17750114	0.206274008	63.056535184%	23838
10743898	0.206402049	63.069876742%	23800
10917784	0.206530090	63.083218300%	23800
13647779	0.206658131	63.096559858%	23800
8986826	0.206786172	63.109901417%	23800
9328138	0.206914213	63.123242975%	23800
8696291	0.207042254	63.136583973%	23799
17963495	0.207170294	63.149914319%	23780
6712741	0.207298335	63.163244666%	23780
16685063	0.207426376	63.176549787%	23735
16654861	0.207554417	63.189843137%	23714
7850667	0.207682458	63.203127517%	23698
17874076	0.207810499	63.216406291%	23688
8135387	0.207938540	63.229684505%	23687
9398556	0.208066581	63.242961037%	23684
3226661	0.208194622	63.256224116%	23660
15119374	0.208322663	63.269459166%	23610
17559279	0.208450704	63.282688610%	23600
3274571	0.208578745	63.295918054%	23600
12257493	0.208706786	63.309136287%	23580
11985482	0.208834827	63.322349475%	23571
17784475	0.208962868	63.335553694%	23555
11257226	0.209090909	63.348743898%	23530
12902036	0.209218950	63.361926255%	23516
12632835	0.209346991	63.375099642%	23500
6211607	0.209475032	63.388273029%	23500
17708241	0.209603073	63.401445856%	23499
7401929	0.209731114	63.414613638%	23490
9527099	0.209859155	63.427781419%	23490
1667746	0.209987196	63.440907158%	23415
13057168	0.210115237	63.454024489%	23400
17897398	0.210243278	63.467141819%	23400
2782911	0.210371319	63.480253544%	23390
703113	0.210499360	63.493364708%	23389
16815858	0.210627401	63.506473069%	23384
3565672	0.210755442	63.519581430%	23384
10776360	0.210883483	63.532676898%	23361
9516770	0.211011524	63.545772367%	23361
15604571	0.211139565	63.558867274%	23360
4727163	0.211267606	63.571928548%	23300
1727094	0.211395647	63.584944975%	23220
9316534	0.211523688	63.597936178%	23175
1756528	0.211651729	63.610913365%	23150
6140096	0.211779770	63.623879342%	23130
13038852	0.211907810	63.636843076%	23126
14456689	0.212035851	63.649803447%	23120
1827769	0.212163892	63.662762697%	23118
5475481	0.212291933	63.675718583%	23112
5510985	0.212419974	63.688673909%	23111
6412387	0.212548015	63.701629235%	23111
9001036	0.212676056	63.714583439%	23109
15092041	0.212804097	63.727532599%	23100
6327114	0.212932138	63.740448124%	23040
17444786	0.213060179	63.753360846%	23035
17080279	0.213188220	63.766272448%	23033
11599077	0.213316261	63.779165550%	23000
11951369	0.213444302	63.792058653%	23000
17510901	0.213572343	63.804951755%	23000
6653844	0.213700384	63.817844858%	23000
11062160	0.213828425	63.830737400%	22999
12665800	0.213956466	63.843629942%	22999
13474568	0.214084507	63.856522483%	22999
18084679	0.214212548	63.869415025%	22999
6747332	0.214340589	63.882307567%	22999
6755178	0.214468630	63.895200109%	22999
3771612	0.214596671	63.908092091%	22998
16803402	0.214724712	63.920982951%	22996
5249077	0.214852753	63.933871569%	22992
1199886	0.214980794	63.946759066%	22990
13560909	0.215108835	63.959646562%	22990
17745018	0.215236876	63.972534059%	22990
3372928	0.215364917	63.985421556%	22990
15036735	0.215492958	63.998296720%	22968
18067463	0.215620999	64.011169642%	22964
8227143	0.215749040	64.024034716%	22950
10738012	0.215877081	64.036871762%	22900
12298266	0.216005122	64.049708807%	22900
12320039	0.216133163	64.062545853%	22900
12436707	0.216261204	64.075382898%	22900
12745981	0.216389245	64.088219944%	22900
129583	0.216517286	64.101056989%	22900
13424580	0.216645327	64.113894035%	22900
14966327	0.216773367	64.126731080%	22900
15707227	0.216901408	64.139568126%	22900
17155737	0.217029449	64.152405172%	22900
17755628	0.217157490	64.165242217%	22900
17864846	0.217285531	64.178079263%	22900
18009247	0.217413572	64.190916308%	22900
6980579	0.217541613	64.203753354%	22900
7122246	0.217669654	64.216590399%	22900
7819289	0.217797695	64.229427445%	22900
8294795	0.217925736	64.242264490%	22900
9566564	0.218053777	64.255101536%	22900
3438358	0.218181818	64.267915598%	22859
17733868	0.218309859	64.280720130%	22842
6139198	0.218437900	64.293522981%	22839
18118067	0.218565941	64.306303970%	22800
372747	0.218693982	64.319084958%	22800
5084235	0.218822023	64.331865947%	22800
1002276	0.218950064	64.344645254%	22797
17867803	0.219078105	64.357424561%	22797
6085257	0.219206146	64.370203867%	22797
6492701	0.219334187	64.382983174%	22797
9746805	0.219462228	64.395762481%	22797
13086029	0.219590269	64.408532258%	22780
1834097	0.219718310	64.421302036%	22780
10814619	0.219846351	64.434024725%	22696
12406873	0.219974392	64.446738445%	22680
12989751	0.220102433	64.459402835%	22592
1550397	0.220230474	64.472064983%	22588
8078967	0.220358515	64.484727131%	22588
12215937	0.220486556	64.497376385%	22565
9026876	0.220614597	64.510011626%	22540
6876946	0.220742638	64.522627807%	22506
16477051	0.220870679	64.535240625%	22500
16931679	0.220998720	64.547853442%	22500
5551621	0.221126761	64.560464578%	22497
12685242	0.221254802	64.573071790%	22490
17712891	0.221382843	64.585677881%	22488
3537601	0.221510883	64.598283972%	22488
11210531	0.221638924	64.610885017%	22479
12055057	0.221766965	64.623468686%	22448
17877287	0.221895006	64.636046748%	22438
17027041	0.222023047	64.648616962%	22424
190606	0.222151088	64.661179329%	22410
18115213	0.222279129	64.673736089%	22400
1814901	0.222407170	64.686292850%	22400
17314984	0.222535211	64.698844005%	22390
9710259	0.222663252	64.711380025%	22363
15504166	0.222791293	64.723907636%	22348
17827550	0.222919334	64.736430762%	22340
1335977	0.223047375	64.748942677%	22320
7484178	0.223175416	64.761451229%	22314
15486528	0.223303457	64.773954175%	22304
14967899	0.223431498	64.786454879%	22300
18081197	0.223559539	64.798927554%	22250
7781170	0.223687580	64.811384533%	22222
8685873	0.223815621	64.823841513%	22222
17509797	0.223943662	64.836292886%	22212
643876	0.224071703	64.848735851%	22197
10601831	0.224199744	64.861178256%	22196
6279593	0.224327785	64.873606085%	22170
10825844	0.224455826	64.886025506%	22155
8924218	0.224583867	64.898442125%	22150
17885965	0.224711908	64.910836881%	22111
263934	0.224839949	64.923225471%	22100
271747	0.224967990	64.935602849%	22080
9784596	0.225096031	64.947971258%	22064
1301054	0.225224072	64.960334622%	22055
16202403	0.225352113	64.972683972%	22030
12494178	0.225480154	64.985029959%	22024
8658477	0.225608195	64.997362492%	22000
98661	0.225736236	65.009695024%	22000
13417794	0.225864277	65.022026997%	21999
15721142	0.225992318	65.034358408%	21998
8252456	0.226120359	65.046689820%	21998
16571820	0.226248399	65.059016747%	21990
6605126	0.226376440	65.071343674%	21990
9501384	0.226504481	65.083663875%	21978
17897191	0.226632522	65.095973985%	21960
2666758	0.226760563	65.108281852%	21956
18098637	0.226888604	65.120580751%	21940
10524537	0.227016645	65.132857227%	21900
17353668	0.227144686	65.145133703%	21900
17723097	0.227272727	65.157410179%	21900
2532750	0.227400768	65.169686655%	21900
611341	0.227528809	65.181963130%	21900
6835154	0.227656850	65.194239606%	21900
7029531	0.227784891	65.206516082%	21900
837483	0.227912932	65.218792558%	21900
8717264	0.228040973	65.231069034%	21900
17045279	0.228169014	65.243343828%	21897
13988742	0.228297055	65.255614698%	21890
16875713	0.228425096	65.267885568%	21890
16614870	0.228553137	65.280155317%	21888
887138	0.228681178	65.292424506%	21887
6846567	0.228809219	65.304686967%	21875
14713509	0.228937260	65.316948868%	21874
1380731	0.229065301	65.329202921%	21860
5027116	0.229193342	65.341431749%	21815
16318152	0.229321383	65.353652168%	21800
17090296	0.229449424	65.365872587%	21800
6912242	0.229577465	65.378093006%	21800
12362509	0.229705506	65.390312864%	21799
730782	0.229833547	65.402531601%	21797
10910078	0.229961588	65.414749778%	21796
107199	0.230089629	65.426964030%	21789
15199644	0.230217670	65.439170995%	21776
3032945	0.230345711	65.451377961%	21776
1010678	0.230473752	65.463573154%	21755
1687407	0.230601793	65.475751530%	21725
13345790	0.230729834	65.487921498%	21710
6282386	0.230857875	65.500091465%	21710
7243030	0.230985915	65.512261433%	21710
233506	0.231113956	65.524425795%	21700
17986375	0.231241997	65.536564931%	21655
12490171	0.231370038	65.548673236%	21600
1478558	0.231498079	65.560781541%	21600
16477253	0.231626120	65.572889846%	21600
3296403	0.231754161	65.584998151%	21600
7216611	0.231882202	65.597105335%	21598
16281991	0.232010243	65.609208034%	21590
6311071	0.232138284	65.621304006%	21578
8954367	0.232266325	65.633395494%	21570
7891303	0.232394366	65.645483619%	21564
14985313	0.232522407	65.657568380%	21558
6733713	0.232650448	65.669641369%	21537
7901910	0.232778489	65.681693617%	21500
17711501	0.232906530	65.693740259%	21490
748096	0.233034571	65.705781296%	21480
17992638	0.233162612	65.717777487%	21400
6271638	0.233290653	65.729773678%	21400
5473584	0.233418694	65.741769308%	21399
17805265	0.233546735	65.753757651%	21386
13816786	0.233674776	65.765703952%	21311
13632792	0.233802817	65.777644086%	21300
17130761	0.233930858	65.789584220%	21300
6206	0.234058899	65.801524354%	21300
7469907	0.234186940	65.813461685%	21295
10975283	0.234314981	65.825397334%	21292
5976678	0.234443022	65.837326257%	21280
14793332	0.234571063	65.849249574%	21270
12209712	0.234699104	65.861165604%	21257
15303362	0.234827145	65.873075467%	21246
17937794	0.234955186	65.884979725%	21236
6055741	0.235083227	65.896869968%	21211
15195365	0.235211268	65.908744515%	21183
7914064	0.235339309	65.920614578%	21175
16191592	0.235467350	65.932470627%	21150
10632812	0.235595391	65.944304813%	21111
10692679	0.235723431	65.956138999%	21111
14044954	0.235851472	65.967973186%	21111
15905685	0.235979513	65.979807372%	21111
5974737	0.236107554	65.991641559%	21111
7029924	0.236235595	66.003475745%	21111
7966423	0.236363636	66.015309931%	21111
9497160	0.236491677	66.027144118%	21111
16470718	0.236619718	66.038960366%	21079
10750323	0.236747759	66.050755312%	21041
18004696	0.236875800	66.062527276%	21000
17988653	0.237003841	66.074298678%	20999
5701029	0.237131882	66.086070081%	20999
9530498	0.237259923	66.097840923%	20998
1147960	0.237387964	66.109611204%	20997
8144009	0.237516005	66.121377562%	20990
17024116	0.237644046	66.133143359%	20989
16295392	0.237772087	66.144898505%	20970
17300690	0.237900128	66.156649166%	20962
9449270	0.238028169	66.168393101%	20950
8256511	0.238156210	66.180131430%	20940
9571998	0.238284251	66.191869759%	20940
930446	0.238412292	66.203605845%	20936
431617	0.238540333	66.215332402%	20919
12739195	0.238668374	66.227048309%	20900
15903337	0.238796415	66.238764215%	20900
2434412	0.238924456	66.250480121%	20900
4087761	0.239052497	66.262196027%	20900
7501670	0.239180538	66.273911933%	20900
8897507	0.239308579	66.285627839%	20900
8396519	0.239436620	66.297338701%	20891
9976741	0.239564661	66.309047880%	20888
1622823	0.239692702	66.320750893%	20877
17908526	0.239820743	66.332448861%	20868
17739313	0.239948784	66.344133375%	20844
12672137	0.240076825	66.355802194%	20816
17793430	0.240204866	66.367471012%	20816
1805507	0.240332907	66.379136467%	20810
16951143	0.240460948	66.390794634%	20797
5130208	0.240588988	66.402452802%	20797
7687008	0.240717029	66.414110969%	20797
9180273	0.240845070	66.425769137%	20797
17764147	0.240973111	66.437417775%	20780
16418302	0.241101152	66.449065291%	20778
4142324	0.241229193	66.460680295%	20720
16502594	0.241357234	66.472283527%	20699
13768975	0.241485275	66.483886198%	20698
1506995	0.241613316	66.495485505%	20692
8776218	0.241741357	66.507083692%	20690
13266951	0.241869398	66.518679076%	20685
5172247	0.241997439	66.530266611%	20671
12857930	0.242125480	66.541853587%	20670
6195738	0.242253521	66.553440562%	20670
5734214	0.242381562	66.565005675%	20631
9022352	0.242509603	66.576570788%	20631
17834276	0.242637644	66.588107311%	20580
1169557	0.242765685	66.599643275%	20579
1187621	0.242893726	66.611168587%	20560
4144749	0.243021767	66.622662508%	20504
8654242	0.243149808	66.634149141%	20491
4661473	0.243277849	66.645634653%	20489
4119609	0.243405890	66.657096621%	20447
6788280	0.243533931	66.668556908%	20444
16301187	0.243661972	66.679992529%	20400
9928325	0.243790013	66.691426469%	20397
8349000	0.243918054	66.702858727%	20394
7531893	0.244046095	66.714288742%	20390
10458136	0.244174136	66.725709228%	20373
7582659	0.244302177	66.737128032%	20370
13964198	0.244430218	66.748524974%	20331
18002423	0.244558259	66.759915750%	20320
76991	0.244686300	66.771303723%	20315
12500908	0.244814341	66.782690014%	20312
8243406	0.244942382	66.794068458%	20298
17657464	0.245070423	66.805442416%	20290
15885255	0.245198464	66.816810769%	20280
14669374	0.245326504	66.828162305%	20250
5416638	0.245454545	66.839512720%	20248
17060093	0.245582586	66.850858650%	20240
1264173	0.245710627	66.862202338%	20236
12084618	0.245838668	66.873542102%	20229
7580146	0.245966709	66.884868412%	20205
15644625	0.246094750	66.896180708%	20180
17919822	0.246222791	66.907492444%	20179
13424554	0.246350832	66.918802497%	20176
4001066	0.246478873	66.930112551%	20176
7866730	0.246606914	66.941413636%	20160
15807278	0.246734955	66.952713599%	20158
17970148	0.246862996	66.963998988%	20132
11365750	0.246991037	66.975277650%	20120
6198840	0.247119078	66.986543979%	20098
6197618	0.247247119	66.997806384%	20091
8143341	0.247375160	67.009062623%	20080
681556	0.247503201	67.020317741%	20078
1348666	0.247631242	67.031565011%	20064
17528630	0.247759283	67.042803873%	20049
5480442	0.247887324	67.054036568%	20038
17695071	0.248015365	67.065253567%	20010
10033619	0.248143406	67.076464400%	19999
10039102	0.248271447	67.087675233%	19999
10079244	0.248399488	67.098886066%	19999
102081	0.248527529	67.110096899%	19999
10390287	0.248655570	67.121307731%	19999
10481337	0.248783611	67.132518564%	19999
10723677	0.248911652	67.143729397%	19999
10800565	0.249039693	67.154940230%	19999
11283365	0.249167734	67.166151063%	19999
1186034	0.249295775	67.177361896%	19999
12078552	0.249423816	67.188572729%	19999
12213489	0.249551857	67.199783562%	19999
12220979	0.249679898	67.210994395%	19999
1233140	0.249807939	67.222205228%	19999
12412674	0.249935980	67.233416061%	19999
12421922	0.250064020	67.244626893%	19999
12572652	0.250192061	67.255837726%	19999
12840674	0.250320102	67.267048559%	19999
1315250	0.250448143	67.278259392%	19999
13299398	0.250576184	67.289470225%	19999
13654252	0.250704225	67.300681058%	19999
13912556	0.250832266	67.311891891%	19999
14535749	0.250960307	67.323102724%	19999
14720508	0.251088348	67.334313557%	19999
14818217	0.251216389	67.345524390%	19999
15302747	0.251344430	67.356735222%	19999
15399112	0.251472471	67.367946055%	19999
15548874	0.251600512	67.379156888%	19999
15578853	0.251728553	67.390367721%	19999
15668561	0.251856594	67.401578554%	19999
15767745	0.251984635	67.412789387%	19999
15785511	0.252112676	67.424000220%	19999
15881621	0.252240717	67.435211053%	19999
16051	0.252368758	67.446421886%	19999
16207118	0.252496799	67.457632719%	19999
16223577	0.252624840	67.468843552%	19999
16437048	0.252752881	67.480054384%	19999
16510153	0.252880922	67.491265217%	19999
16543658	0.253008963	67.502476050%	19999
16556724	0.253137004	67.513686883%	19999
16643706	0.253265045	67.524897716%	19999
169796	0.253393086	67.536108549%	19999
17065033	0.253521127	67.547319382%	19999
17215928	0.253649168	67.558530215%	19999
17393140	0.253777209	67.569741048%	19999
17597321	0.253905250	67.580951881%	19999
17733045	0.254033291	67.592162714%	19999
17752660	0.254161332	67.603373546%	19999
1782078	0.254289373	67.614584379%	19999
17830419	0.254417414	67.625795212%	19999
17841799	0.254545455	67.637006045%	19999
17844277	0.254673496	67.648216878%	19999
17844704	0.254801536	67.659427711%	19999
17845076	0.254929577	67.670638544%	19999
17846764	0.255057618	67.681849377%	19999
17846887	0.255185659	67.693060210%	19999
17847345	0.255313700	67.704271043%	19999
17847947	0.255441741	67.715481875%	19999
17849066	0.255569782	67.726692708%	19999
17851945	0.255697823	67.737903541%	19999
17853410	0.255825864	67.749114374%	19999
17853484	0.255953905	67.760325207%	19999
17857085	0.256081946	67.771536040%	19999
17857269	0.256209987	67.782746873%	19999
17862252	0.256338028	67.793957706%	19999
17863379	0.256466069	67.805168539%	19999
17864469	0.256594110	67.816379372%	19999
17865150	0.256722151	67.827590205%	19999
17865328	0.256850192	67.838801037%	19999
17874485	0.256978233	67.850011870%	19999
17875179	0.257106274	67.861222703%	19999
17875360	0.257234315	67.872433536%	19999
17877321	0.257362356	67.883644369%	19999
1788142	0.257490397	67.894855202%	19999
1831902	0.257618438	67.906066035%	19999
1947462	0.257746479	67.917276868%	19999
2346857	0.257874520	67.928487701%	19999
2443938	0.258002561	67.939698534%	19999
2475032	0.258130602	67.950909366%	19999
2512525	0.258258643	67.962120199%	19999
3164732	0.258386684	67.973331032%	19999
3284237	0.258514725	67.984541865%	19999
346341	0.258642766	67.995752698%	19999
3520971	0.258770807	68.006963531%	19999
393850	0.258898848	68.018174364%	19999
4147254	0.259026889	68.029385197%	19999
4449011	0.259154930	68.040596030%	19999
4952809	0.259282971	68.051806863%	19999
516174	0.259411012	68.063017696%	19999
5190039	0.259539052	68.074228528%	19999
5437509	0.259667093	68.085439361%	19999
5519853	0.259795134	68.096650194%	19999
5755776	0.259923175	68.107861027%	19999
5839423	0.260051216	68.119071860%	19999
6258963	0.260179257	68.130282693%	19999
633773	0.260307298	68.141493526%	19999
6621398	0.260435339	68.152704359%	19999
6633219	0.260563380	68.163915192%	19999
6644031	0.260691421	68.175126025%	19999
6689007	0.260819462	68.186336858%	19999
6696032	0.260947503	68.197547690%	19999
6745640	0.261075544	68.208758523%	19999
6784779	0.261203585	68.219969356%	19999
6881052	0.261331626	68.231180189%	19999
7065391	0.261459667	68.242391022%	19999
7090320	0.261587708	68.253601855%	19999
7134189	0.261715749	68.264812688%	19999
7217528	0.261843790	68.276023521%	19999
7221177	0.261971831	68.287234354%	19999
7221974	0.262099872	68.298445187%	19999
7432188	0.262227913	68.309656019%	19999
7441729	0.262355954	68.320866852%	19999
7501469	0.262483995	68.332077685%	19999
7572028	0.262612036	68.343288518%	19999
757972	0.262740077	68.354499351%	19999
7722168	0.262868118	68.365710184%	19999
785953	0.262996159	68.376921017%	19999
7926337	0.263124200	68.388131850%	19999
8165600	0.263252241	68.399342683%	19999
8220212	0.263380282	68.410553516%	19999
8243590	0.263508323	68.421764349%	19999
8248358	0.263636364	68.432975181%	19999
8401968	0.263764405	68.444186014%	19999
8566105	0.263892446	68.455396847%	19999
861084	0.264020487	68.466607680%	19999
8653654	0.264148528	68.477818513%	19999
875622	0.264276569	68.489029346%	19999
8878789	0.264404609	68.500240179%	19999
8891431	0.264532650	68.511451012%	19999
9047523	0.264660691	68.522661845%	19999
9065647	0.264788732	68.533872678%	19999
9092642	0.264916773	68.545083511%	19999
9171403	0.265044814	68.556294343%	19999
9180458	0.265172855	68.567505176%	19999
9183627	0.265300896	68.578716009%	19999
9230298	0.265428937	68.589926842%	19999
9362074	0.265556978	68.601137675%	19999
9401594	0.265685019	68.612348508%	19999
9419521	0.265813060	68.623559341%	19999
